"logFC"	"logCPM"	"PValue"	"FDR"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"OLR1"	-0.841494819286277	3.07791789214296	3.83192568237125e-09	5.31074647531794e-07	TRUE	FALSE	FALSE
"TRIP10"	-0.451049053346032	6.71726747333525	3.85890185916142e-09	5.31317820686892e-07	TRUE	FALSE	FALSE
"FLNA"	-0.449233808894972	9.90094653019871	3.91337301305038e-09	5.35318934369605e-07	TRUE	FALSE	FALSE
"PLEKHG1"	-0.542591352487711	5.7368262522926	3.94334964827166e-09	5.35939378648327e-07	TRUE	FALSE	FALSE
"DYX1C1-CCPG1"	0.743642466421335	4.42586531983488	4.30555220823001e-09	5.81415146272906e-07	TRUE	FALSE	FALSE
"ARHGAP10"	-0.444670370319646	6.56254077600348	4.4721826417261e-09	6.00070060704472e-07	TRUE	FALSE	FALSE
"A2ML1"	-0.560028455802362	5.05206794982594	4.50234818109658e-09	6.00294093563169e-07	TRUE	FALSE	FALSE
"VEGFA"	-0.551782579254914	6.98020366127338	4.86392707988678e-09	6.44424451980471e-07	TRUE	FALSE	FALSE
"MAP3K3"	0.516566929624106	4.34837176201435	5.06551402857007e-09	6.66938240786607e-07	TRUE	FALSE	FALSE
"TMEM106B"	0.468002021000655	5.46418182183254	5.12618831183404e-09	6.70624897914226e-07	TRUE	FALSE	FALSE
"IGSF8"	-0.442589968280685	7.7835556919752	5.1571837777511e-09	6.70624897914226e-07	TRUE	FALSE	FALSE
"DHRS3"	-0.757872206901016	4.41771341377976	5.22017046994843e-09	6.7465098846585e-07	TRUE	FALSE	FALSE
"DPP7"	-0.699435909761611	5.65553910817016	5.55701844135678e-09	7.13805795644036e-07	TRUE	FALSE	FALSE
"ADCY5"	-0.976093411871465	2.41969414838653	6.29348868203185e-09	8.03506864095048e-07	TRUE	FALSE	FALSE
"FAM47E-STBD1"	-0.509835534901797	6.16914759794161	6.45604331158289e-09	8.19295231336176e-07	TRUE	FALSE	FALSE
"TMPRSS4"	-0.888317252072279	2.39792177424382	6.87360013229458e-09	8.63870810250144e-07	TRUE	FALSE	FALSE
"SMPD1"	0.78078956388623	2.69417803547202	6.92544179796723e-09	8.63870810250144e-07	TRUE	FALSE	FALSE
"SERPINB6"	-0.542326819971821	5.88469373538768	6.9303221747021e-09	8.63870810250144e-07	TRUE	FALSE	FALSE
"SLC6A8"	-0.46916093633688	9.00984801093483	8.18565945457867e-09	1.0143476592362e-06	TRUE	FALSE	FALSE
"MYADM"	-0.467426177593002	6.47415078692655	8.57565297617206e-09	1.05646026664351e-06	TRUE	FALSE	FALSE
"ACKR2"	-0.474326322243017	7.10592774030164	9.04890771031977e-09	1.10828075479998e-06	TRUE	FALSE	FALSE
"KLF5"	-0.611532757821366	6.79627724196713	9.16048505146276e-09	1.11546114505269e-06	TRUE	FALSE	FALSE
"HAPLN3"	-0.525655613882914	6.96632245801373	9.73221848443578e-09	1.17826962409841e-06	TRUE	FALSE	FALSE
"CEBPD"	-0.616757512291938	6.08924178432634	1.00423705616728e-08	1.20887187572686e-06	TRUE	FALSE	FALSE
"CCNK"	-0.435522400867502	7.25900176487353	1.01690499040569e-08	1.21204319919935e-06	TRUE	FALSE	FALSE
