"logFC"	"logCPM"	"PValue"	"FDR"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"TACR3"	-1.35358574694906	3.56428811586634	7.89993356735615e-40	9.5643678465474e-38	TRUE	TRUE	FALSE
"SASH1"	-0.952789849871599	7.21447187636948	1.54189022549024e-39	1.85608339943871e-37	TRUE	FALSE	FALSE
"SLC7A1"	-0.915483304604594	6.67018045090853	1.90647555212651e-39	2.28192124892596e-37	TRUE	FALSE	FALSE
"LRRFIP1"	-0.768287054120116	8.31444131490678	2.17037156375292e-39	2.58311002045305e-37	TRUE	FALSE	FALSE
"EGFR"	-0.832682317415333	8.82021209368219	4.01426920253646e-39	4.75081994497939e-37	TRUE	FALSE	FALSE
"IGSF8"	-0.687293825987873	7.7835556919752	4.11978751001171e-39	4.8437286450443e-37	TRUE	FALSE	FALSE
"LONP1"	-0.697429635687433	7.23285753462406	4.13875987898972e-39	4.8437286450443e-37	TRUE	FALSE	FALSE
"ADGRF4"	-1.2696119558385	3.57202972258157	5.45016262244413e-39	6.34326661902807e-37	TRUE	TRUE	FALSE
"UNC93A"	-0.796757452882158	5.37595591431243	6.60176454092662e-39	7.64136108896485e-37	TRUE	FALSE	FALSE
"AK7"	-0.70319388986281	6.05881310876243	9.02003767458816e-39	1.03833941886816e-36	TRUE	FALSE	FALSE
"ARHGAP29"	-0.813815248094164	7.8153241286848	9.97434510192633e-39	1.14195409737598e-36	TRUE	FALSE	FALSE
"ADGRF2"	-2.4537818796243	1.42830124054879	1.46256342998595e-38	1.66542493059914e-36	TRUE	TRUE	TRUE
"MGAT4A"	-0.793206170094016	7.17044377509784	1.53722836182416e-38	1.74103508979504e-36	TRUE	FALSE	FALSE
"FGFR1"	-0.662159025191381	9.20921579775249	1.69508258889601e-38	1.90955132714885e-36	TRUE	FALSE	FALSE
"CREB3L2"	-0.742476466344248	7.56610005185377	1.80977795912502e-38	2.02791396207062e-36	TRUE	FALSE	FALSE
"CYP11A1"	-0.707513518088823	7.31995346989026	2.2462651471608e-38	2.5036942640259e-36	TRUE	FALSE	FALSE
"ACKR2"	-0.740182900187207	7.10592774030164	2.68517881351915e-38	2.97715667818918e-36	TRUE	FALSE	FALSE
"FHL2"	-0.739641799928244	7.49163643599694	2.90459682918597e-38	3.20357260751999e-36	TRUE	FALSE	FALSE
"SYNJ2"	-0.895123946336135	7.13147367247501	3.70845547170742e-38	4.06887098786399e-36	TRUE	FALSE	FALSE
"IL6"	-2.40827590487997	1.31648271253328	3.82695978302323e-38	4.17713651757344e-36	TRUE	TRUE	TRUE
"TGIF2"	-0.73528444405188	6.50765841146687	6.22682844314982e-38	6.76156535996877e-36	TRUE	FALSE	FALSE
"FAM89A"	-0.65808328462518	6.46471496253504	6.67683973417887e-38	7.20892846165542e-36	TRUE	FALSE	FALSE
"IL17RD"	1.74034374062233	1.77948148805904	6.7072532919608e-38	7.20892846165542e-36	TRUE	TRUE	TRUE
"CDC42EP1"	-1.2017305013739	4.36308508675162	7.46937554809883e-38	7.98730280691624e-36	TRUE	TRUE	FALSE
"BCAR3"	-0.661643696147374	6.69435533647221	8.02614066004712e-38	8.53932722952286e-36	TRUE	FALSE	FALSE
"MFAP5"	-0.783763389706893	7.15351775011741	1.33557186539544e-37	1.41382698072464e-35	TRUE	FALSE	FALSE
"TP63"	-0.780494997031299	6.40333865833214	1.34426944732796e-37	1.41591900887054e-35	TRUE	FALSE	FALSE
"RP1-35C21.1"	-1.16005919761084	3.03901759456232	1.42444227844645e-37	1.49290054914193e-35	TRUE	FALSE	FALSE
"ALPL"	-0.98879537104455	3.95048987895065	1.99417161679999e-37	2.07966432076775e-35	TRUE	FALSE	FALSE
"ALDH2"	-0.651593325495085	7.58180529746233	2.07149933867894e-37	2.14966527431579e-35	TRUE	FALSE	FALSE
"ST14"	0.652200408389849	6.49210656646524	2.14305418492198e-37	2.21301860095914e-35	TRUE	FALSE	FALSE
"ITGA2"	1.4969270841663	2.51884852066572	2.78128045404851e-37	2.8580709290237e-35	TRUE	TRUE	FALSE
"INPP5D"	-1.22944962708693	4.3977057960203	2.86215313471945e-37	2.92689892893203e-35	TRUE	TRUE	FALSE
"CCND1"	-0.928521785497128	6.66873976957512	5.30582164218734e-37	5.39963472049848e-35	TRUE	FALSE	FALSE
"TGIF1"	-0.656595420722753	7.81055001838095	5.35561930903235e-37	5.42410944058055e-35	TRUE	FALSE	FALSE
