"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"SMIM3"	-0.247063717535454	6.57013948196919	-5.75526028289138	1.64312596948703e-05	0.00247243511951527	3.06887655145627	TRUE	FALSE	FALSE
"STK24"	-0.285232420446288	7.8083568523681	-5.76022212252937	1.62590227618106e-05	0.00246967149710257	3.04805404726211	TRUE	FALSE	FALSE
"NLRP9"	-0.588266753301068	3.13288316463004	-5.67328923421009	1.95641860347814e-05	0.00276603451683695	3.00048140277148	TRUE	FALSE	FALSE
"IRX2"	-0.283653640894766	7.37885433727681	-5.71642922284863	1.78455708408203e-05	0.0025748958584433	2.96715683830757	TRUE	FALSE	FALSE
"SOCS3"	-0.341458792213201	4.80641841811815	-5.65765696216211	2.02281067502643e-05	0.00282202183311965	2.93397542098996	TRUE	FALSE	FALSE
"IQCJ-SCHIP1"	-0.30600934225834	5.00371183940211	-5.66373805575226	1.99671302552987e-05	0.00280418377305415	2.93392300592277	TRUE	FALSE	FALSE
"BCL2L1"	-0.257332101893252	6.32146888981922	-5.67832423871139	1.93551382569567e-05	0.00275496853054764	2.91657001518007	TRUE	FALSE	FALSE
"CAPN5"	0.459823380285206	3.12970489676712	5.65354914984945	2.0406376240459e-05	0.0028281626439573	2.90514555421905	TRUE	FALSE	FALSE
"TSPYL2"	-0.359192060348384	5.25482164156535	-5.64309012965672	2.08675870209499e-05	0.00287318031492372	2.88224858591642	TRUE	FALSE	FALSE
"SLC12A3"	-0.569902685608996	2.8492699279274	-5.62648041569408	2.16221167558159e-05	0.00295773708816895	2.855271485851	TRUE	FALSE	FALSE
"GABARAPL1"	-0.281656241325525	5.09771539075744	-5.62225712159442	2.18183937483646e-05	0.0029653308561487	2.85124686758174	TRUE	FALSE	FALSE
"KRT24"	-0.799467154044548	0.969483068630833	-5.8509066391771	1.34179000431404e-05	0.00222568096306138	2.84884390437678	TRUE	FALSE	FALSE
"FYTTD1"	0.354083345329489	4.15233875482502	5.58634206222866	2.35631998995917e-05	0.00314166056382784	2.82498404264412	TRUE	FALSE	FALSE
"SALL4"	-0.27973202428979	5.71483467191921	-5.6185831734826	2.1990626182875e-05	0.00296958032800285	2.81011394334132	TRUE	FALSE	FALSE
"PLEKHG3"	-0.225931496053521	6.55420823313273	-5.5782701697347	2.39746632824061e-05	0.0031764167088501	2.69840159283573	TRUE	FALSE	FALSE
"ACTN1"	-0.274098048186938	9.38425700125385	-5.60073665858298	2.28473163216909e-05	0.00306561506772446	2.67916724869703	TRUE	FALSE	FALSE
"TKTL1"	-0.90324862608849	0.537146256269674	-5.91692532251007	1.16745370174201e-05	0.00203884923864305	2.66331842026418	TRUE	FALSE	FALSE
"C1orf198"	-0.229621505042467	7.24010557907893	-5.55027980774271	2.54594231365062e-05	0.00335205129871025	2.62005425933493	TRUE	FALSE	FALSE
"HSPD1P6"	-0.544686358733488	2.12145782530756	-5.53351967805262	2.6393274346253e-05	0.00345342060483333	2.61507925285002	TRUE	FALSE	FALSE
"TMPRSS4"	-0.435194770571802	2.23730092152329	-5.4720469781589	3.01296878970947e-05	0.00375569233869938	2.56323363137788	TRUE	FALSE	FALSE
"AIM1"	-0.348308776294894	4.74180464041755	-5.47867868810664	2.97017718672073e-05	0.00375569233869938	2.56012858918725	TRUE	FALSE	FALSE
"PPME1"	-0.222651134709754	6.97434478304157	-5.51605015871318	2.74040732624202e-05	0.00356354448979101	2.55336410633304	TRUE	FALSE	FALSE
"TJP2"	-0.233415440098781	6.93663258132533	-5.50700154979561	2.79431428871327e-05	0.0036113512150941	2.53527539052074	TRUE	FALSE	FALSE
"CLU"	-0.403432914493344	5.32490606528247	-5.46628970275645	3.05062995902131e-05	0.00378026886569076	2.50600907044626	TRUE	FALSE	FALSE
"TRIB1"	-0.248595773984119	6.0624287658882	-5.47688236713694	2.981706236488e-05	0.00375569233869938	2.49671487388099	TRUE	FALSE	FALSE
"SLC22A11"	-0.850649844198791	0.698328035512318	-5.80056968665175	1.49255165743824e-05	0.00231191861879367	2.49621683072699	TRUE	FALSE	FALSE
"SMAD3"	-0.283794087520876	6.41117100563349	-5.48145952534239	2.95241935773776e-05	0.00375569233869938	2.49055040944824	TRUE	FALSE	FALSE
"A2ML1"	-0.308240828411106	5.00956011991424	-5.45359319529739	3.13539765792858e-05	0.00386258988666219	2.48963943559596	TRUE	FALSE	FALSE
"PTGIS"	-0.525024149514966	1.43359578306819	-5.47208451453035	3.01272481471526e-05	0.00375569233869938	2.44211492000976	TRUE	FALSE	FALSE
"RP11-162P23.2"	-0.244800093835644	6.35807133665191	-5.44811188131428	3.17273536875673e-05	0.0038858629812924	2.42825734980701	TRUE	FALSE	FALSE
"TGIF2"	-0.269908494535586	6.48428452005537	-5.43903929127335	3.23553975633661e-05	0.00393987748595301	2.40252118289416	TRUE	FALSE	FALSE
"LCN9"	0.471119596240706	5.85265965839537	5.41634478619886	3.39827636662569e-05	0.00409074799653353	2.40149745373802	TRUE	FALSE	FALSE
"GAS7"	-0.381677442095434	2.89384491388263	-5.37823109445107	3.6906795239063e-05	0.00427186015662692	2.39917882890004	TRUE	FALSE	FALSE
"CDK14"	-0.247234596220574	5.31719792669436	-5.40042878745126	3.51738520261158e-05	0.00413951042895059	2.36839880442563	TRUE	FALSE	FALSE
"TBC1D2"	-0.24500510620227	5.72439017216922	-5.40745773327841	3.46426520803912e-05	0.00412754231443001	2.3662964690131	TRUE	FALSE	FALSE
