"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"ADARB1"	0.939042245970381	5.19963466020875	16.5769455714402	1.35256723318087e-12	2.73972897444118e-10	19.1189927200039	TRUE	FALSE	FALSE
"SMIM3"	-0.729135098587544	6.57013948196919	-16.6018807360839	1.31748501626718e-12	2.72099405418475e-10	19.1142790858191	TRUE	FALSE	FALSE
"RGL1"	-0.790976439646057	4.95868871968432	-16.5425305173495	1.40260682657651e-12	2.76959434167557e-10	19.0833095069947	TRUE	FALSE	FALSE
"GAS6"	1.0592509625269	3.81090632570527	16.5579032267203	1.38001875093227e-12	2.76871190544182e-10	19.0753687996119	TRUE	FALSE	FALSE
"LNX1"	-0.995675962585543	5.12621223904343	-16.5277992769528	1.42461691164546e-12	2.76959434167557e-10	19.0673812470694	TRUE	FALSE	FALSE
"PPP1R15A"	-0.914995421236925	6.45219838350999	-16.5222199520966	1.43304748524939e-12	2.76959434167557e-10	19.0327519509246	TRUE	FALSE	FALSE
"PARD3"	-0.816636519959787	7.87089017579056	-16.5240897912252	1.43021626398637e-12	2.76959434167557e-10	19.0068611903555	TRUE	FALSE	FALSE
"FAM47E-STBD1"	-0.904740998538881	6.13387602792452	-16.4884302251478	1.48523739952632e-12	2.84436464167468e-10	19.0025747078406	TRUE	FALSE	FALSE
"GRIK4"	-1.82456634482347	2.27993812575598	-17.0148069403726	8.56856256081922e-13	2.02814987535076e-10	18.9985758797349	TRUE	TRUE	TRUE
"GCH1"	-0.749345593884851	5.68931846931551	-16.4679367640595	1.51785980405485e-12	2.88065176866841e-10	18.990510054541	TRUE	FALSE	FALSE
"PLEKHG1"	-0.963064419473962	5.69624150530244	-16.4296315770972	1.58087000626907e-12	2.94713341168709e-10	18.9520567018303	TRUE	FALSE	FALSE
"PLAC8"	-0.882890059348225	7.46156660538078	-16.4365521194441	1.5692858772054e-12	2.94713341168709e-10	18.9188216238322	TRUE	FALSE	FALSE
"DENND1A"	-0.753086683546262	7.45481181345805	-16.399152685675	1.63296693764488e-12	2.9913114355154e-10	18.8790512606567	TRUE	FALSE	FALSE
"AP001065.15"	-0.872847089565427	9.28419974516307	-16.4182876235297	1.600053044157e-12	2.95672959896591e-10	18.8699817196041	TRUE	FALSE	FALSE
"CMIP"	-0.910087435386062	7.38887366295186	-16.3851615178708	1.65748266176583e-12	3.00325101363118e-10	18.8651480668275	TRUE	FALSE	FALSE
"MAFF"	-1.13931403028931	3.67639152775462	-16.3712435249016	1.68225396187449e-12	3.00325101363118e-10	18.855243115087	TRUE	FALSE	FALSE
"CD55"	-0.693681123887387	9.01163454155277	-16.3761644891473	1.67345147117209e-12	3.00325101363118e-10	18.8272470567491	TRUE	FALSE	FALSE
"SLC7A5"	-0.966749629668174	9.87154285846703	-16.3624278743052	1.69814496909566e-12	3.00614469907305e-10	18.8009417170281	TRUE	FALSE	FALSE
"TANC2"	-0.946063785111375	8.27147429442469	-16.3349242669975	1.74874383096512e-12	3.06991979525926e-10	18.7956463749643	TRUE	FALSE	FALSE
"ERRFI1"	-0.834999513593869	8.99112981365183	-16.2440445579584	1.92750144752578e-12	3.35576409037835e-10	18.684854720224	TRUE	FALSE	FALSE
"GPT2"	-1.09212657084758	6.57365629504329	-16.1921571458621	2.03807734002213e-12	3.51919157745132e-10	18.6784557113228	TRUE	FALSE	FALSE
"PCIF1"	-0.728925667714373	5.93573193880925	-16.178588171731	2.06807905573653e-12	3.54196369009316e-10	18.6768297781633	TRUE	FALSE	FALSE
"OSBPL6"	-1.09394950761233	4.1756058329316	-16.1457217786781	2.14268681079131e-12	3.61390719695163e-10	18.6525627888062	TRUE	FALSE	FALSE
"HK2"	-1.05340179032739	9.78416143504698	-16.1449831214067	2.14439570691614e-12	3.61390719695163e-10	18.5631696813529	TRUE	FALSE	FALSE
"ATF3"	-0.927329032864316	6.15860659015588	-16.0712792737208	2.3223200633531e-12	3.88269797258701e-10	18.5532660698296	TRUE	FALSE	FALSE
"AVPI1"	-1.03778718344738	4.5301289972788	-16.0228824716387	2.44753245564863e-12	3.96613220851492e-10	18.5312617676491	TRUE	FALSE	FALSE
"A2ML1"	-0.967014184765554	5.00956011991424	-16.0261756006979	2.43879171184093e-12	3.96613220851492e-10	18.5307930631233	TRUE	FALSE	FALSE
"TRAK1"	-0.67271198806559	7.57254238420669	-16.0586592140134	2.35430833045304e-12	3.88860271630774e-10	18.5041978705967	TRUE	FALSE	FALSE
"MBP"	-0.976859468156756	5.48556115575034	-15.9095188257902	2.76939917361944e-12	4.41970931753538e-10	18.3947349277934	TRUE	FALSE	FALSE
"GRAMD1B"	-1.05333260877736	4.50961068723477	-15.8726612815333	2.88338484864248e-12	4.56702144522575e-10	18.3687432444005	TRUE	FALSE	FALSE
"EPS8L1"	-0.889761789021248	5.87200165891591	-15.810369970601	3.08736488864901e-12	4.74733056527592e-10	18.2730503551886	TRUE	FALSE	FALSE
"PLEKHG6"	-0.6800886390743	7.62911507665282	-15.8433358220502	2.97759223742958e-12	4.67679991151674e-10	18.2644506682644	TRUE	FALSE	FALSE
"SPNS2"	-0.8892775268455	5.421259314784	-15.7636977440242	3.25009891218125e-12	4.96134664376885e-10	18.2328331448954	TRUE	FALSE	FALSE
"FGFR1"	-0.662024974719447	9.18981629474627	-15.8282168079073	3.02741916538514e-12	4.68938324544142e-10	18.2190452860747	TRUE	FALSE	FALSE
"TNFRSF19"	-1.34810747214652	2.81211467101409	-15.9162189704097	2.74919164469888e-12	4.41970931753538e-10	18.2080778743238	TRUE	TRUE	FALSE
"ICK"	-0.946228737546872	6.71747024782549	-15.7300479284061	3.37299946639852e-12	5.11191415533462e-10	18.1616901271497	TRUE	FALSE	FALSE
"DNAJC6"	-0.874807294804595	5.56771115395594	-15.6952976850975	3.50505259880422e-12	5.23669773378792e-10	18.1540358732483	TRUE	FALSE	FALSE
"CDH5"	-0.746928609076513	8.149581245355	-15.7007653144175	3.48392059119366e-12	5.23669773378792e-10	18.091193494567	TRUE	FALSE	FALSE
"PCSK5"	-0.788726498788064	5.965009074933	-15.6211973326636	3.80509848392501e-12	5.64494399030734e-10	18.0582279665332	TRUE	FALSE	FALSE
"MYL3"	-1.54484346834061	2.57995007962443	-15.8373867353444	2.99709478806968e-12	4.67679991151674e-10	18.0273855594194	TRUE	TRUE	TRUE
