"logFC"	"logCPM"	"PValue"	"FDR"	"Pval_threshold"	"FC1.2_threshold"	"FC1.5_threshold"
"PSMD5-AS1"	0.723346589484485	3.82720329684962	2.38852270834426e-17	3.61990067438707e-15	TRUE	FALSE	FALSE
"APBB1IP"	-0.589204265209465	6.13685481198047	2.53798223553337e-17	3.81893812669614e-15	TRUE	FALSE	FALSE
"CAPN5"	0.750122854387752	3.17455576016657	2.89995713551622e-17	4.33265936289254e-15	TRUE	FALSE	FALSE
"DPP7"	-0.690355586384493	5.65553910817016	3.02639630182767e-17	4.48972285171139e-15	TRUE	FALSE	FALSE
"ANTXR1"	-1.49269171600644	0.943557499106546	3.15378678860992e-17	4.61620564258229e-15	TRUE	TRUE	FALSE
"FAM47E-STBD1"	-0.510905166207216	6.16914759794161	3.15548092913628e-17	4.61620564258229e-15	TRUE	FALSE	FALSE
"SLC1A6"	-1.11980842399497	1.89953017819797	3.82482438083435e-17	5.55681037287285e-15	TRUE	FALSE	FALSE
"VWF"	-0.923535091074562	2.53224164443032	4.04220950458563e-17	5.83240996052061e-15	TRUE	FALSE	FALSE
"GRAMD1B"	-0.607526074302433	4.56047452619209	4.35297866840587e-17	6.23808494072368e-15	TRUE	FALSE	FALSE
"ALDH3B1"	-0.46856445179778	5.76123141081522	4.68264948645631e-17	6.66518203254653e-15	TRUE	FALSE	FALSE
"PIGQ"	0.5479840310744	4.53901518774113	5.34660185530846e-17	7.55916205932403e-15	TRUE	FALSE	FALSE
"ARHGEF33"	-0.841785809263258	3.15706553911559	5.96294008764611e-17	8.37435305909019e-15	TRUE	FALSE	FALSE
"TFCP2L1"	0.946457294061059	3.25392274412062	6.95132106997352e-17	9.69778342119618e-15	TRUE	FALSE	FALSE
"AC002480.3"	-1.01166807613973	2.16153177518707	8.81727743049444e-17	1.22200504178155e-14	TRUE	FALSE	FALSE
"TRIM29"	-0.881300963857504	4.60138582419238	9.68018410219491e-17	1.33282848560025e-14	TRUE	FALSE	FALSE
"SIGLEC6"	-3.92041385750042	-2.38605456892632	1.1516572463017e-16	1.57537737341503e-14	TRUE	TRUE	TRUE
