SYMBOL	CTRL_R1	CTRL_R2	CTRL_R3	DMSO	SMZ_R1	SMZ_R2	SMZ_R3	TMP_R1	TMP_R2	TMP_R3	CTX_R1	CTX_R2	CTX_R3
RP3-512B11.3	288.282457	287.9766924	273.5003412	311.4229129	285.4742471	285.5744347	286.990455	304.2377064	251.4839427	309.6600033	304.1808584	309.4320575	282.7092082
RP11-863P13.5	11.39456352	6.879989238	7.1973774	3.422229813	2.655574391	6.369689993	6.238922936	3.248089392	7.85887321	5.664512256	7.459476091	4.688364508	6.066721207
RP3-496C20.1	3.418369056	4.914278027	1.028196771	7.700017078	6.638935978	3.184844997	1.78254941	3.248089392	6.287098568	1.888170752	2.48649203	1.875345803	1.213344241
AC004449.6	1.139456352	0	0	1.711114906	5.311148783	2.123229998	0	2.165392928	0.785887321	0	1.657661354	2.813018705	0
LA16c-361A3.3	2.278912704	0	2.056393543	1.711114906	0	2.123229998	0	0	0	0	3.315322707	1.875345803	0
RP1-80N2.3	38.74151597	47.17706906	40.09967409	84.70018786	108.87855	110.4079599	71.30197641	69.29257369	65.22864764	89.68811072	50.55867128	44.07062637	40.04035996
RP11-195F19.30	209.6599688	236.8682009	226.2032897	250.6783338	310.7022038	289.8208947	314.6199709	219.7873822	237.3379709	183.152563	242.0185576	276.613506	271.7891101
RP11-960L18.1	3.418369056	4.914278027	4.112787086	3.422229813	13.27787196	3.184844997	7.130197641	6.496178783	7.072985889	1.888170752	4.144153384	13.12742062	7.280065448
RP11-629O1.2	211.9388815	233.9196341	221.0623059	171.1114906	168.6289739	157.1190198	189.8415122	142.9159332	157.9633515	199.2020143	195.6040397	188.4722532	249.9489137
ZNF865	1885.800262	1944.088388	1727.370576	1816.348473	1959.813901	2042.547258	2016.954658	2194.625732	2059.810668	1789.041788	1843.319425	1987.866551	1985.031179
RP11-830F9.7	7.976194464	1.965711211	1.028196771	2.566672359	1.327787196	9.55453499	1.78254941	1.082696464	0.785887321	0.944085376	1.657661354	0	1.213344241
RP11-38G5.4	6.836738112	0.982855605	2.056393543	1.711114906	0	10.61614999	2.673824115	5.413482319	6.287098568	8.496768384	4.144153384	4.688364508	6.066721207
BOP1	4819.900369	4782.575376	4762.607445	4145.17586	4004.606182	3877.017976	4040.148238	5023.711592	4546.358152	4636.403282	4241.126573	4686.489162	4651.961821
AC009166.5	1.139456352	0	1.028196771	0.855557453	0	0	0.891274705	1.082696464	1.571774642	0.944085376	0.828830677	1.875345803	1.213344241
