NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT	41	39		
GOCC_DEATH_INDUCING_SIGNALING_COMPLEX	9		Rejected!	
GOCC_DENDRITE_CYTOPLASM	27	22		
GOCC_DENDRITE_MEMBRANE	40	24		
GOCC_DENDRITE_TERMINUS	13		Rejected!	
GOCC_DENDRITIC_FILOPODIUM	5		Rejected!	
GOCC_DENDRITIC_GROWTH_CONE	9		Rejected!	
GOCC_DENDRITIC_SHAFT	41	29		
GOCC_DENDRITIC_SPINE_HEAD	7		Rejected!	
GOCC_DENDRITIC_SPINE_MEMBRANE	15		Rejected!	
GOCC_DENDRITIC_TREE	620	467		
GOCC_DENSE_BODY	5		Rejected!	
GOCC_DENSE_CORE_GRANULE	38	23		
GOCC_DENSE_CORE_GRANULE_MEMBRANE	7		Rejected!	
GOCC_DENTATE_GYRUS_MOSSY_FIBER	6		Rejected!	
GOCC_DERLIN_1_RETROTRANSLOCATION_COMPLEX	8		Rejected!	
GOCC_DESMOSOME	27	22		
GOCC_DEUTEROSOME	6		Rejected!	
GOCC_DIHYDROLIPOYL_DEHYDROGENASE_COMPLEX	9		Rejected!	
GOCC_DISTAL_AXON	276	207		
GOCC_DNA_POLYMERASE_COMPLEX	19	18		
GOCC_DNA_RECOMBINASE_MEDIATOR_COMPLEX	7		Rejected!	
GOCC_DNA_REPAIR_COMPLEX	22	22		
GOCC_DNA_REPLICATION_FACTOR_C_COMPLEX	5		Rejected!	
GOCC_DNA_REPLICATION_PREINITIATION_COMPLEX	13		Rejected!	
GOCC_DOPAMINERGIC_SYNAPSE	14		Rejected!	
GOCC_DYNACTIN_COMPLEX	8		Rejected!	
GOCC_DYNEIN_AXONEMAL_PARTICLE	20	19		
GOCC_DYNEIN_COMPLEX	54	48		
GOCC_DYSTROGLYCAN_COMPLEX	7		Rejected!	
GOCC_DYSTROPHIN_ASSOCIATED_GLYCOPROTEIN_COMPLEX	18		Rejected!	
GOCC_EARLY_ENDOSOME	434	369		
GOCC_EARLY_ENDOSOME_LUMEN	5		Rejected!	
GOCC_EARLY_ENDOSOME_MEMBRANE	196	169		
GOCC_EARLY_PHAGOSOME	13		Rejected!	
GOCC_EGG_COAT	5		Rejected!	
GOCC_EKC_KEOPS_COMPLEX	5		Rejected!	
GOCC_ELASTIC_FIBER	5		Rejected!	
GOCC_ELONGATOR_HOLOENZYME_COMPLEX	6		Rejected!	
GOCC_ELONGIN_COMPLEX	5		Rejected!	
GOCC_EMC_COMPLEX	10		Rejected!	
GOCC_ENDOCYTIC_VESICLE	348	274		
GOCC_ENDOCYTIC_VESICLE_LUMEN	23		Rejected!	
GOCC_ENDOCYTIC_VESICLE_MEMBRANE	202	152		
GOCC_ENDOLYSOSOME	29	26		
GOCC_ENDOLYSOSOME_LUMEN	5		Rejected!	
GOCC_ENDOLYSOSOME_MEMBRANE	20	18		
GOCC_ENDONUCLEASE_COMPLEX	39	38		
GOCC_ENDOPEPTIDASE_COMPLEX	84	75		
GOCC_ENDOPLASMIC_RETICULUM_CHAPERONE_COMPLEX	11		Rejected!	
GOCC_ENDOPLASMIC_RETICULUM_EXIT_SITE	34	27		
GOCC_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT	134	120		
GOCC_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT_MEMBRANE	81	72		
GOCC_ENDOPLASMIC_RETICULUM_LUMEN	312	235		
GOCC_ENDOPLASMIC_RETICULUM_PALMITOYLTRANSFERASE_COMPLEX	8		Rejected!	
GOCC_ENDOPLASMIC_RETICULUM_PLASMA_MEMBRANE_CONTACT_SITE	12		Rejected!	
GOCC_ENDOPLASMIC_RETICULUM_PROTEIN_CONTAINING_COMPLEX	126	118		
GOCC_ENDOPLASMIC_RETICULUM_QUALITY_CONTROL_COMPARTMENT	15		Rejected!	
GOCC_ENDOPLASMIC_RETICULUM_TUBULAR_NETWORK	27	27		
GOCC_ENDOPLASMIC_RETICULUM_TUBULAR_NETWORK_MEMBRANE	5		Rejected!	
GOCC_ENDOSOME	1054		Rejected!	
GOCC_ENDOSOME_LUMEN	40	28		
GOCC_ENDOSOME_MEMBRANE	561	490		
GOCC_ENVELOPE	1270		Rejected!	
GOCC_ENZYME_ACTIVATOR_COMPLEX	16	16		
GOCC_EPSILON_DNA_POLYMERASE_COMPLEX	5		Rejected!	
GOCC_EQUATORIAL_MICROTUBULE_ORGANIZING_CENTER	5		Rejected!	
GOCC_ER_MEMBRANE_INSERTION_COMPLEX	14		Rejected!	
GOCC_ER_TO_GOLGI_TRANSPORT_VESICLE_MEMBRANE	64	47		
GOCC_ER_UBIQUITIN_LIGASE_COMPLEX	9		Rejected!	
GOCC_ESCRT_COMPLEX	28	28		
GOCC_ESCRT_I_COMPLEX	11		Rejected!	
GOCC_ESC_E_Z_COMPLEX	10		Rejected!	
GOCC_EUCHROMATIN	60	50		
GOCC_EUKARYOTIC_48S_PREINITIATION_COMPLEX	17	17		
GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_2B_COMPLEX	5		Rejected!	
GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_2_COMPLEX	5		Rejected!	
GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_3_COMPLEX	15	15		
GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_3_COMPLEX_EIF3M	7		Rejected!	
GOCC_EUKARYOTIC_TRANSLATION_INITIATION_FACTOR_4F_COMPLEX	12		Rejected!	
GOCC_EXCITATORY_SYNAPSE	64	41		
GOCC_EXOCYST	14		Rejected!	
GOCC_EXOCYTIC_VESICLE	235	183		
GOCC_EXON_EXON_JUNCTION_COMPLEX	11		Rejected!	
GOCC_EXORIBONUCLEASE_COMPLEX	19	19		
GOCC_EXTERNAL_ENCAPSULATING_STRUCTURE	564	354		
GOCC_EXTERNAL_SIDE_OF_APICAL_PLASMA_MEMBRANE	6		Rejected!	
GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE	387	232		
GOCC_EXTRINSIC_COMPONENT_OF_CYTOPLASMIC_SIDE_OF_PLASMA_MEMBRANE	71	55		
GOCC_EXTRINSIC_COMPONENT_OF_ENDOSOME_MEMBRANE	5		Rejected!	
GOCC_EXTRINSIC_COMPONENT_OF_MEMBRANE	207	160		
GOCC_EXTRINSIC_COMPONENT_OF_MITOCHONDRIAL_INNER_MEMBRANE	7		Rejected!	
GOCC_EXTRINSIC_COMPONENT_OF_ORGANELLE_MEMBRANE	28	25		
GOCC_EXTRINSIC_COMPONENT_OF_PLASMA_MEMBRANE	126	92		
GOCC_EXTRINSIC_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE	8		Rejected!	
GOCC_EXTRINSIC_COMPONENT_OF_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	5		Rejected!	
GOCC_EXTRINSIC_COMPONENT_OF_PRESYNAPTIC_MEMBRANE	6		Rejected!	
GOCC_EXTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE	14		Rejected!	
GOCC_EXTRINSIC_COMPONENT_OF_SYNAPTIC_VESICLE_MEMBRANE	11		Rejected!	
GOCC_FACIT_COLLAGEN_TRIMER	6		Rejected!	
GOCC_FANCONI_ANAEMIA_NUCLEAR_COMPLEX	13		Rejected!	
GOCC_FASCIA_ADHERENS	8		Rejected!	
GOCC_FC_RECEPTOR_COMPLEX	5		Rejected!	
GOCC_FEMALE_GERM_CELL_NUCLEUS	17		Rejected!	
GOCC_FEMALE_PRONUCLEUS	10		Rejected!	
GOCC_FHF_COMPLEX	5		Rejected!	
GOCC_FIBRILLAR_CENTER	150	140		
GOCC_FIBRILLAR_COLLAGEN_TRIMER	12		Rejected!	
GOCC_FIBRINOGEN_COMPLEX	8		Rejected!	
GOCC_FICOLIN_1_RICH_GRANULE	185	163		
GOCC_FICOLIN_1_RICH_GRANULE_LUMEN	124	115		
GOCC_FICOLIN_1_RICH_GRANULE_MEMBRANE	61	48		
GOCC_FILAMENTOUS_ACTIN	28	24		
GOCC_FILOPODIUM	108	90		
GOCC_FILOPODIUM_MEMBRANE	18	15		
GOCC_FILOPODIUM_TIP	19	17		
GOCC_FILTRATION_DIAPHRAGM	8		Rejected!	
GOCC_FLEMMING_BODY	35	35		
GOCC_FLOTILLIN_COMPLEX	9		Rejected!	
GOCC_F_ACTIN_CAPPING_PROTEIN_COMPLEX	8		Rejected!	
GOCC_GABA_ERGIC_SYNAPSE	79	37		
GOCC_GABA_RECEPTOR_COMPLEX	21		Rejected!	
GOCC_GAMMA_DELTA_T_CELL_RECEPTOR_COMPLEX	6		Rejected!	
GOCC_GAMMA_SECRETASE_COMPLEX	7		Rejected!	
GOCC_GAMMA_TUBULIN_COMPLEX	16	15		
GOCC_GAMMA_TUBULIN_RING_COMPLEX	7		Rejected!	
GOCC_GAP_JUNCTION	32	20		
GOCC_GATOR2_COMPLEX	5		Rejected!	
GOCC_GBAF_COMPLEX	14		Rejected!	
GOCC_GEMINI_OF_COILED_BODIES	12		Rejected!	
GOCC_GERM_CELL_NUCLEUS	68	52		
GOCC_GID_COMPLEX	5		Rejected!	
GOCC_GINS_COMPLEX	5		Rejected!	
GOCC_GLIAL_CELL_PROJECTION	37	23		
GOCC_GLUTAMATERGIC_SYNAPSE	408	304		
GOCC_GLYCINERGIC_SYNAPSE	8		Rejected!	
GOCC_GLYCOGEN_GRANULE	7		Rejected!	
GOCC_GLYCOPROTEIN_COMPLEX	23	15		
GOCC_GLYCOPROTEIN_IB_IX_V_COMPLEX	5		Rejected!	
GOCC_GLYCOSYLPHOSPHATIDYLINOSITOL_N_ACETYLGLUCOSAMINYLTRANSFERASE_GPI_GNT_COMPLEX	7		Rejected!	
GOCC_GOLGI_APPARATUS	1634		Rejected!	
GOCC_GOLGI_APPARATUS_SUBCOMPARTMENT	384	329		
GOCC_GOLGI_ASSOCIATED_VESICLE	94	82		
GOCC_GOLGI_ASSOCIATED_VESICLE_MEMBRANE	57	50		
GOCC_GOLGI_CISTERNA	118	98		
GOCC_GOLGI_CISTERNA_MEMBRANE	93	73		
GOCC_GOLGI_CIS_CISTERNA	31	18		
GOCC_GOLGI_LUMEN	105	64		
GOCC_GOLGI_MEDIAL_CISTERNA	12		Rejected!	
GOCC_GOLGI_MEMBRANE	672		Rejected!	
GOCC_GOLGI_STACK	151	128		
GOCC_GOLGI_TRANSPORT_COMPLEX	9		Rejected!	
GOCC_GOLGI_TRANS_CISTERNA	10		Rejected!	
GOCC_GPI_ANCHOR_TRANSAMIDASE_COMPLEX	5		Rejected!	
GOCC_GRANULAR_COMPONENT	7		Rejected!	
GOCC_GROWTH_CONE_MEMBRANE	8		Rejected!	
GOCC_GROWTH_FACTOR_COMPLEX	8		Rejected!	
GOCC_GTPASE_ACTIVATOR_COMPLEX	11		Rejected!	
GOCC_GTPASE_COMPLEX	41	32		
GOCC_GUANYL_NUCLEOTIDE_EXCHANGE_FACTOR_COMPLEX	17	16		
GOCC_G_PROTEIN_COUPLED_RECEPTOR_COMPLEX	11		Rejected!	
GOCC_G_PROTEIN_COUPLED_RECEPTOR_DIMERIC_COMPLEX	7		Rejected!	
GOCC_H3_HISTONE_ACETYLTRANSFERASE_COMPLEX	8		Rejected!	
GOCC_H4_H2A_HISTONE_ACETYLTRANSFERASE_COMPLEX	31	28		
GOCC_H4_HISTONE_ACETYLTRANSFERASE_COMPLEX	45	42		
GOCC_HAPTOGLOBIN_HEMOGLOBIN_COMPLEX	11		Rejected!	
GOCC_HAUS_COMPLEX	8		Rejected!	
GOCC_HEMIDESMOSOME	8		Rejected!	
GOCC_HEMOGLOBIN_COMPLEX	12		Rejected!	
